0,≤335,≤1.0,≤5.0,≤90
1,>335,>1.0,>5.0,>90
2,>670,>2.0,>8.9,>180
3,>1005,>3.0,>12.8,>270
4,>1340,>4.0,>16.8,>360
5,>1675,>5.0,>20.7,>450
6,>2010,>6.0,>24.6,>540
7,>2345,>7.0,>28.5,>630
8,>2680,>8.0,>32.4,>720
9,>3015,>9.0,>36.3,>810
10,>3350,>10.0,>40.3,>900
11,>3685,>11.2,>44.2,>990
12,,>12.5,>48.1,>1080
13,,>13.9,>52.0,>1170
14,,>15.5,>55.9,>1260
15,,>17.3,>59.8,>1350
16,,>19.3,>63.8,>1440
17,,>21.6,>67.7,>1530
18,,>24.1,>71.6,>1620
19,,>26.9,>75.5,>1710
20,,>30.0,>79.4,>1800
21,,>33.5,>83.3,>1890
22,,>37.4,>87.3,>1980
23,,>41.7,>91.2,>2070
24,,>46.6,>95.1,>2160
25,,>52.0,>99.0,>2250
26,,>58.0,,>2340
27,,>64.7,,>2430
28,,>72.3,,>2520
29,,>80.6,,>2610
30,,>90,,>2700
